DATE,TIME,VOLUME,OPEN,CLOSE,MIN,MAX
09/15/2011,20:10:01,184,.633,.633,.6329,.6331
09/15/2011,20:11:01,136,.633,.6329,.6328,.633
09/15/2011,20:12:01,273,.6329,.6328,.6327,.633
09/15/2011,20:13:01,228,.6329,.6326,.6326,.6329
09/15/2011,20:14:01,323,.6327,.6326,.6325,.6328
09/15/2011,20:15:01,235,.6326,.6326,.6325,.6328
09/15/2011,20:16:01,238,.6326,.6326,.6325,.6327
09/15/2011,20:17:01,290,.6326,.6325,.6324,.6326
09/15/2011,20:18:01,288,.6325,.6326,.6324,.6326
09/15/2011,20:19:01,463,.6326,.6327,.6324,.6329
09/15/2011,20:20:01,247,.6327,.6327,.6326,.6328
09/15/2011,20:21:01,325,.6328,.6327,.6326,.6328
09/15/2011,20:22:01,165,.6327,.6328,.6326,.6329
09/15/2011,20:23:01,312,.6328,.6328,.6327,.6329
09/15/2011,20:24:01,182,.6328,.6328,.6327,.6329
09/15/2011,20:25:01,130,.6328,.6327,.6327,.6329
09/15/2011,20:26:01,144,.6327,.6328,.6326,.6328
09/15/2011,20:27:01,141,.6328,.6328,.6327,.6328
09/15/2011,20:28:01,184,.6328,.6329,.6327,.633
09/15/2011,20:29:01,177,.6329,.6329,.6328,.633
09/15/2011,20:30:01,229,.6329,.6329,.6328,.633
09/15/2011,20:31:01,201,.6329,.633,.6328,.6331
09/15/2011,20:32:01,222,.6329,.6331,.6329,.6332
09/15/2011,20:33:01,232,.6331,.6331,.633,.6332
09/15/2011,20:34:01,214,.633,.633,.6328,.6332
09/15/2011,20:35:01,131,.6329,.633,.6328,.6331
09/15/2011,20:36:01,202,.633,.633,.6328,.6331
09/15/2011,20:37:01,99,.633,.633,.6329,.6331
09/15/2011,20:38:01,173,.633,.6329,.6328,.6331
09/15/2011,20:39:01,93,.633,.633,.6328,.633
09/15/2011,20:40:01,119,.6329,.6329,.6328,.633
09/15/2011,20:41:01,136,.6329,.6329,.6328,.633
09/15/2011,20:42:01,117,.6329,.6329,.6328,.633
09/15/2011,20:43:01,129,.6329,.6329,.6328,.633
09/15/2011,20:44:01,113,.6329,.6329,.6328,.633
